name,url,description
Personnel_HR_General_ERD,https://etrm.live/etrm-12.2.2/etrm.oracle.com/pls/trm1222/Personnel_HR_General_ERD57fa.pdf?n_file_id=812&c_mode=INLINE,HR General Entity Relationship Diagram
Person_Assignments_ERD,https://etrm.live/etrm-12.2.2/etrm.oracle.com/pls/trm1222/Person_Assignments_ERD.pdf?n_file_id=813&c_mode=INLINE,Person Assignments Entity Relationship Diagram
Person_Contact_ERD,https://etrm.live/etrm-12.2.2/etrm.oracle.com/pls/trm1222/Person_Contact_ERD.pdf?n_file_id=814&c_mode=INLINE,Person Contact Information Entity Relationship Diagram
US_Federal_HR_ERD,https://etrm.live/etrm-12.1.1/etrm.oracle.com/pls/et1211d9/R11i10%20US%20Federal%20Human%20Resorces%20ERD62d3.pdf?n_file_id=803&c_mode=INLINE,US Federal Human Resources Entity Relationship Diagram
